title,compound,datetime
Rootin' tootin' Vladimir Putin,0.0,2024-06-29 21:00:25.095722
Ukraine war latest: Belarus deploys extra air defence forces to border; 10 Ukrainian prisoners freed with Vatican's help,-0.34,2024-06-29 21:00:25.095722
"North Korea's state media says there is an 'important report', does not give details",0.2023,2024-06-29 21:00:25.096315
"N. Korea condemns joint military exercise by S. Korea, US, Japan",-0.5106,2024-06-29 21:00:25.096315
[KOREAN TEMPLE ADVENTURES] 3 visits to Daeseung Temple,0.0,2024-06-29 21:00:25.096315
"Med professors, doctors to convene nationwide debate on medical reform in July",0.0,2024-06-29 21:00:25.096315
"North Korea Cracking Down On White Wedding Dress, South Korean Slang. Here’s Why",0.0,2024-06-29 21:00:25.096315
"North Korea To Make An 'Important Announcement' Soon, What Could It Be?",0.2023,2024-06-29 21:00:25.097571
"Japan, US, South Korea wrap up joint exercise | NHK WORLD-JAPAN News",0.0,2024-06-29 21:00:25.097571
US says China fears N.Korea crisis after Putin trip,-0.7845,2024-06-29 21:00:25.097571
"SK Group to secure $ 58 bil. by 2026 for AI, chip investments",0.34,2024-06-29 21:31:10.722848
Humanitarian demining,0.0,2024-06-29 21:31:10.724478
The burden and beauty of being Asian in America,0.2263,2024-06-29 21:31:10.731546
NT Major Events 'fully committed to 2024 Alide Springs Masters Games despite sluggish registration in lead up,0.5648,2024-06-29 21:31:10.731546
[Herald Interview] Song Kang-ho says acting still a challenge,0.0772,2024-06-29 21:31:10.731546
North Korea labels South Korea-U.S.-Japan ties Asia's version of NATO,0.0,2024-06-29 22:00:25.079080
"Korea's cafe count surpasses 100,000",0.0,2024-06-29 22:00:25.079080
"North Korea accuses South Korea, US and Japan of developing 'Asian Nato,' slams joint military drills",-0.34,2024-06-29 22:00:25.079080
"N. Korea Condemns Drills By US, Japan, S. Korea As 'Asian NATO'",-0.5106,2024-06-29 22:00:25.079080
One-third of new students at Korea’s ‘SKY’ universities are from Seoul,0.0,2024-06-29 22:00:25.079080
"Atmanirbhar with a twist: India’s different from Korea, Latin nations",0.0,2024-06-29 22:00:25.092237
"SK Group to secure $58 bil. by 2026 for AI, chip investments",0.34,2024-06-29 22:00:25.093828
"Drawn by BTS, K-drama, Chinese tourists return to Korea in droves after years of upset",-0.3818,2024-06-29 22:00:25.095020
Asia Today: South Korea sees most new cases in 3 weeks,0.0,2024-06-29 22:30:48.454461
"Afghan refugee Mohammad Rezayi fled to Australia in 2012 without his family, they're only just now reuniting",0.0,2024-06-29 22:30:48.460778
Chinese researchers discover naturally occurring few-layer graphene in the Chang'e-5 lunar samples for 1st time,0.0,2024-06-29 22:31:10.722848
Trump says additional sanctions on North Korea not necessary,0.0,2024-06-29 22:31:10.724478
South Korea Imposes Sanctions On Russian And DPRK Affiliates,-0.1027,2024-06-29 22:31:10.729491
Korean War exhibit opens in Wilsonville,-0.5994,2024-06-29 22:31:10.729491
"South Korea’s SK Hynix to invest $75 billion by 2028 in AI, chips",0.0,2024-06-29 22:31:10.731546
Vietnamese ginseng requires quality standards,0.0,2024-06-29 22:31:10.731546
"North Korea condemns drills by U.S., Japan, S. Korea as 'Asian NATO'",-0.5106,2024-06-29 22:36:32.243111
[Herald Interview] Korean-Japanese teen trot duo Lucky PangPang makes ambitious debut,0.7096,2024-06-29 23:00:25.079080
South Korea's SK Hynix plans to invest $75 billion on chips through 2028,0.0,2024-06-29 23:00:25.079080
How families of missing people suffer a unique kind of 'ambiguous grief',-0.836,2024-06-29 23:31:10.724478
Circus program connecting senior and students boosts wellbeing and confidence,0.6808,2024-06-29 23:31:10.731546
"[AtoZ into Korean mind] S. Korea's money paradox: In era of prosperity, obsession with wealth only grows",0.1027,2024-06-29 23:32:00.399358
"South Korea's SK Hynix to invest $75 bln by 2028 in AI, chips",0.0,2024-06-29 23:36:32.248115
S Korea faced with a shrinking population,0.0,2024-06-30 00:00:25.079080
China's Wang Yi urges Seoul to 'swiftly' investigate deadly factory fire,-0.34,2024-06-30 00:00:25.095722
North Korean Ammo Keeps 70-Year-Old Russian Guns Firing,-0.34,2024-06-30 00:30:48.460778
How one family escaped North Korea in a rickety boat on the open sea,0.0,2024-06-30 01:00:25.079080
Renault Korea chief displays confidence in success of Grand Koleos SUV,0.875,2024-06-30 01:00:25.079080
"South Korea Expands Export Ban to Russia and Belarus, Citing Military Use Concerns - Oj",-0.4939,2024-06-30 01:00:25.079080
