title                                                                                                                                               datetime                     link                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Quantum computer photons create a vortex when they collide                                                                                          2024-06-11 13:06:23.504954   news.google.com/articles/CBMiVGh0dHBzOi8vd3d3LmVhcnRoLmNvbS9uZXdzL3F1YW50dW0tY29tcHV0ZXItcGhvdG9ucy1jcmVhdGUtdm9ydGV4LXdoZW4tdGhleS1jb2xsaWRlL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                       
The next administration must be ready for new quantum encryption standards, MITRE advises                                                           2024-06-11 13:06:23.504954   news.google.com/articles/CBMihgFodHRwczovL3d3dy5uZXh0Z292LmNvbS9jeWJlcnNlY3VyaXR5LzIwMjQvMDYvbmV4dC1hZG1pbmlzdHJhdGlvbi1tdXN0LWJlLXJlYWR5LW5ldy1xdWFudHVtLWVuY3J5cHRpb24tc3RhbmRhcmRzLW1pdHJlLWFkdmlzZXMvMzk3Mjg0L9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                   
UWaterloo's Institute For Quantum Computing Gets Lift From Finishing Quantum Satellite Project                                                      2024-06-11 13:06:43.364080   news.google.com/articles/CBMihwFodHRwczovL3RoZXF1YW50dW1pbnNpZGVyLmNvbS8yMDI0LzA2LzExL3V3YXRlcmxvb3MtaW5zdGl0dXRlLWZvci1xdWFudHVtLWNvbXB1dGluZy1nZXRzLWxpZnQtZnJvbS1maW5pc2hpbmctcXVhbnR1bS1zYXRlbGxpdGUtcHJvamVjdC_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                  
What "naked" singularities are revealing about quantum space-time                                                                                   2024-06-11 13:06:43.364080   news.google.com/articles/CBMidGh0dHBzOi8vd3d3Lm5ld3NjaWVudGlzdC5jb20vYXJ0aWNsZS9tZzI2MjM0OTUwLTQwMC13aGF0LW5ha2VkLXNpbmd1bGFyaXRpZXMtYXJlLXJldmVhbGluZy1hYm91dC1xdWFudHVtLXNwYWNlLXRpbWUv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                             
Pseudomagic quantum states: A path to quantum supremacy                                                                                             2024-06-11 13:06:43.364080   news.google.com/articles/CBMiTGh0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDI0LTA2LXBzZXVkb21hZ2ljLXF1YW50dW0tc3RhdGVzLXBhdGgtc3VwcmVtYWN5Lmh0bWzSAUtodHRwczovL3BoeXMub3JnL25ld3MvMjAyNC0wNi1wc2V1ZG9tYWdpYy1xdWFudHVtLXN0YXRlcy1wYXRoLXN1cHJlbWFjeS5hbXA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                              
When quantum physicists met Freud and Jung                                                                                                          2024-06-11 13:06:43.366610   news.google.com/articles/CBMiTGh0dHBzOi8vaWFpLnR2L2FydGljbGVzL3doZW4tcXVhbnR1bS1waHlzaWNpc3RzLW1ldC1mcmV1ZC1hbmQtanVuZy1hdWlkLTI4NTfSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                  
Superconducting Quantum Circuit Research Could Bring on Faster, More Reliable Quantum Technologies                                                  2024-06-11 13:06:43.366610   news.google.com/articles/CBMiiwFodHRwczovL3RoZXF1YW50dW1pbnNpZGVyLmNvbS8yMDI0LzA2LzExL3N1cGVyY29uZHVjdGluZy1xdWFudHVtLWNpcmN1aXQtcmVzZWFyY2gtY291bGQtYnJpbmctb24tZmFzdGVyLW1vcmUtcmVsaWFibGUtcXVhbnR1bS10ZWNobm9sb2dpZXMv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                             
Experimental quantum computational chemistry with optimized unitary coupled cluster ansatz                                                          2024-06-11 13:06:43.366610   news.google.com/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNTY3LTAyNC0wMjUzMC160gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                                                     
Is quantum computing the next technological frontier?                                                                                               2024-06-11 13:06:43.366610   news.google.com/articles/CBMiVmh0dHBzOi8vY2EubmV3cy55YWhvby5jb20vcXVhbnR1bS1jb21wdXRpbmctbmV4dC10ZWNobm9sb2dpY2FsLWZyb250aWVyLTE4NTMyMjIwNi5odG1s0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                     
New technique could help build quantum computers of the future                                                                                      2024-06-11 13:06:43.366610   news.google.com/articles/CBMiO2h0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDI0LTA2LXRlY2huaXF1ZS1xdWFudHVtLWZ1dHVyZS5odG1s0gE6aHR0cHM6Ly9waHlzLm9yZy9uZXdzLzIwMjQtMDYtdGVjaG5pcXVlLXF1YW50dW0tZnV0dXJlLmFtcA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                           
Riverlane, the company making quantum computing useful far sooner than anticipated                                                                  2024-06-11 13:06:43.366610   news.google.com/articles/CBMiemh0dHBzOi8vd3d3Lm1hZGR5bmVzcy5jb20vdWsvMjAyNC8wNi8xMS9yaXZlcmxhbmUtdGhlLWNvbXBhbnktbWFraW5nLXF1YW50dW0tY29tcHV0aW5nLXVzZWZ1bC1mYXItc29vbmVyLXRoYW4tYW50aWNpcGF0ZWQv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                     
Quantum Computing Inc. Reports First Quarter 2024 Financial Results                                                                                 2024-06-11 13:06:43.373729   news.google.com/articles/CBMiemh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvcXVhbnR1bS1jb21wdXRpbmctaW5jLXJlcG9ydHMtZmlyc3QtcXVhcnRlci0yMDI0LWZpbmFuY2lhbC1yZXN1bHRzLTMwMjE2OTY1Ny5odG1s0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                     
World's smallest quantum light detector now fits on a silicon chip                                                                                  2024-06-11 13:06:43.373729   news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LmVhcnRoLmNvbS9uZXdzL3dvcmxkcy1zbWFsbGVzdC1xdWFudHVtLWxpZ2h0LWRldGVjdG9yLW5vdy1maXRzLW9uLXNpbGljb24tY2hpcC_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                              
New Technique Could Help Build Quantum Computers of the Future                                                                                      2024-06-11 13:06:43.373729   news.google.com/articles/CBMiZWh0dHBzOi8vbmV3c2NlbnRlci5sYmwuZ292LzIwMjQvMDYvMTEvbmV3LXRlY2huaXF1ZS1jb3VsZC1oZWxwLWJ1aWxkLXF1YW50dW0tY29tcHV0ZXJzLW9mLXRoZS1mdXR1cmUv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                 
SEALSQ to Launch Two New Quantum Resistant Chips                                                                                                    2024-06-11 13:06:43.373729   news.google.com/articles/CBMieGh0dHBzOi8vd3d3Lmdsb2JlbmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZS8yMDI0LzA2LzExLzI4OTY5NDYvMC9lbi9TRUFMU1EtdG8tTGF1bmNoLVR3by1OZXctUXVhbnR1bS1SZXNpc3RhbnQtQ2hpcHMuaHRtbNIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                       
First Quantum Minerals Ltd. stock outperforms market despite losses on the day                                                                      2024-06-11 13:06:43.373729   news.google.com/articles/CBMiiQFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vZGF0YS1uZXdzL2ZpcnN0LXF1YW50dW0tbWluZXJhbHMtbHRkLXN0b2NrLW91dHBlcmZvcm1zLW1hcmtldC1kZXNwaXRlLWxvc3Nlcy1vbi10aGUtZGF5LTMyNmIzM2M1LWNiODQ5MWQxZDc4M9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                               
Nvidia confirms worldwide acceleration in quantum computing using CUDA-Q                                                                            2024-06-11 13:06:43.373729   news.google.com/articles/CBMiX2h0dHBzOi8vcmVhZHdyaXRlLmNvbS9udmlkaWEtY29uZmlybXMtd29ybGR3aWRlLWFjY2VsZXJhdGlvbi1pbi1xdWFudHVtLWNvbXB1dGluZy11c2luZy1jdWRhLXEv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                         
Quantum dots and metasurfaces: Deep connections in the nano world                                                                                   2024-06-11 13:06:43.373729   news.google.com/articles/CBMiMGh0dHBzOi8vd3d3LmV1cmVrYWxlcnQub3JnL25ld3MtcmVsZWFzZXMvMTA0NzkzNtIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                                                       
UPDATE 1-Canadian miner First Quantum starts arbitration against Panama, says government                                                            2024-06-11 13:06:43.373729   news.google.com/articles/CBMiVmh0dHBzOi8vY2Euc3BvcnRzLnlhaG9vLmNvbS9uZXdzLzEtY2FuYWRpYW4tbWluZXItZmlyc3QtcXVhbnR1bS0xNjE1MjQ1NjkuaHRtbD9zcmM9cnNz0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                     
Analogous electronic states in graphene and planer metallic quantum dots | Scientific Reports                                                       2024-06-12 13:06:23.496756   news.google.com/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNTk4LTAyNC02MzQ2NS0y0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                                                     
Diraq, GlobalFoundries to Make Quantum Chips With Standard Tools                                                                                    2024-06-12 13:06:23.496756   news.google.com/articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDI0LTA2LTEyL2RpcmFxLWdsb2JhbGZvdW5kcmllcy10by1tYWtlLXF1YW50dW0tY2hpcHMtd2l0aC1zdGFuZGFyZC10b29sc9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                               
D-Wave Quantum director sells warrants worth over $529k By Investing.com                                                                            2024-06-12 13:06:23.496756   news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmludmVzdGluZy5jb20vbmV3cy9jb21wYW55LW5ld3MvZHdhdmUtcXVhbnR1bS1kaXJlY3Rvci1zZWxscy13YXJyYW50cy13b3J0aC1vdmVyLTUyOWstOTNDSC0zNDgyMjU20gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                     
